video,status,start_time,end_time,elapsed_seconds,output_dir,error
/home/users/oauser/mvsa/vehicle-counting/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TMC - 2 Days and 16 hours/TMC 18 - Durgabail Circle/Cam 4/2026-08-02/20260802_160512_tp00086.mp4,completed,2026-08-22 18:10:07,2026-08-22 18:17:46,458.48,/home/users/oauser/mvsa/vehicle-counting/output/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TMC - 2 Days and 16 hours/TMC 18 - Durgabail Circle/Cam 4/2026-08-02/20260802_160512_tp00086,
/home/users/oauser/mvsa/vehicle-counting/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TVC - 7 Days and 24 Hour CTVC/TVC 2 - Saptapur Road/Cam 2 - Backup/2026-08-05/20260805_232601_tp00050.mp4,completed,2026-08-22 18:17:46,2026-08-22 18:25:15,449.51,/home/users/oauser/mvsa/vehicle-counting/output/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TVC - 7 Days and 24 Hour CTVC/TVC 2 - Saptapur Road/Cam 2 - Backup/2026-08-05/20260805_232601_tp00050,
/home/users/oauser/mvsa/vehicle-counting/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TVC - 7 Days and 24 Hour CTVC/TVC 2 - Saptapur Road/Cam 2 - Backup/2026-08-06/20260806_141128_tp00068.mp4,completed,2026-08-22 18:25:15,2026-08-22 18:33:37,501.41,/home/users/oauser/mvsa/vehicle-counting/output/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TVC - 7 Days and 24 Hour CTVC/TVC 2 - Saptapur Road/Cam 2 - Backup/2026-08-06/20260806_141128_tp00068,
/home/users/oauser/mvsa/vehicle-counting/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TVC - 7 Days and 24 Hour CTVC/TVC 2 - Saptapur Road/Cam 2 - Backup/2026-08-07/20260807_051549_tp00089.mp4,failed,2026-08-22 18:33:37,2026-08-22 18:40:11,394.07,/home/users/oauser/mvsa/vehicle-counting/output/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TVC - 7 Days and 24 Hour CTVC/TVC 2 - Saptapur Road/Cam 2 - Backup/2026-08-07/20260807_051549_tp00089,Pipeline finished but expected output files are missing
/home/users/oauser/mvsa/vehicle-counting/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TVC - 7 Days and 24 Hour CTVC/TVC 2 - Saptapur Road/Cam 2 - Backup/2026-08-08/20260808_195738_tp00149.mp4,completed,2026-08-22 18:40:11,2026-08-22 18:47:49,458.36,/home/users/oauser/mvsa/vehicle-counting/output/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TVC - 7 Days and 24 Hour CTVC/TVC 2 - Saptapur Road/Cam 2 - Backup/2026-08-08/20260808_195738_tp00149,
/home/users/oauser/mvsa/vehicle-counting/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TVC - 7 Days and 24 Hour CTVC/TVC 2 - Saptapur Road/Cam 2 - Backup/2026-08-09/20260809_163313_tp00178.mp4,completed,2026-08-22 18:47:49,2026-08-22 18:55:17,448.05,/home/users/oauser/mvsa/vehicle-counting/output/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TVC - 7 Days and 24 Hour CTVC/TVC 2 - Saptapur Road/Cam 2 - Backup/2026-08-09/20260809_163313_tp00178,
/home/users/oauser/mvsa/vehicle-counting/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TVC - 7 Days and 24 Hour CTVC/TVC 2 - Saptapur Road/Cam 2 - Backup/2026-08-10/20260810_150920_tp00209.mp4,completed,2026-08-22 18:55:17,2026-08-22 19:03:05,467.31,/home/users/oauser/mvsa/vehicle-counting/output/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TVC - 7 Days and 24 Hour CTVC/TVC 2 - Saptapur Road/Cam 2 - Backup/2026-08-10/20260810_150920_tp00209,
/home/users/oauser/mvsa/vehicle-counting/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TVC - 7 Days and 24 Hour CTVC/TVC 2 - Saptapur Road/Cam 2 - Backup/2026-08-11/20260811_003048_tp00225.mp4,completed,2026-08-22 19:03:05,2026-08-22 19:10:10,425.41,/home/users/oauser/mvsa/vehicle-counting/output/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TVC - 7 Days and 24 Hour CTVC/TVC 2 - Saptapur Road/Cam 2 - Backup/2026-08-11/20260811_003048_tp00225,
/home/users/oauser/mvsa/vehicle-counting/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TVC - 7 Days and 24 Hour CTVC/TVC 4 - HD Road Navnagar/Cam 3 - EB Backup/2026-07-19/20260719_175032_tp00040.mp4,completed,2026-08-22 19:10:10,2026-08-22 19:16:21,371.37,/home/users/oauser/mvsa/vehicle-counting/output/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TVC - 7 Days and 24 Hour CTVC/TVC 4 - HD Road Navnagar/Cam 3 - EB Backup/2026-07-19/20260719_175032_tp00040,
/home/users/oauser/mvsa/vehicle-counting/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TVC - 7 Days and 24 Hour CTVC/TVC 4 - HD Road Navnagar/Cam 3 - EB Backup/2026-07-20/20260720_111347_tp00064.mp4,completed,2026-08-22 19:16:21,2026-08-22 19:19:23,181.81,/home/users/oauser/mvsa/vehicle-counting/output/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TVC - 7 Days and 24 Hour CTVC/TVC 4 - HD Road Navnagar/Cam 3 - EB Backup/2026-07-20/20260720_111347_tp00064,
