2026-08-28 11:05:43 [DEBUG] uvh_test.main: frame=337 raw_class=Two-wheeler raw_conf=0.916 kept_by_bytetrack=True track_id=3
2026-08-28 11:05:43 [DEBUG] uvh_test.main: frame=341 raw_class=Two-wheeler raw_conf=0.878 kept_by_bytetrack=True track_id=5
2026-08-28 11:05:43 [DEBUG] uvh_test.main: frame=341 raw_class=Two-wheeler raw_conf=0.911 kept_by_bytetrack=True track_id=3
2026-08-28 11:05:43 [DEBUG] uvh_test.main: frame=344 raw_class=Two-wheeler raw_conf=0.905 kept_by_bytetrack=True track_id=5
2026-08-28 11:05:43 [DEBUG] uvh_test.main: frame=344 raw_class=Two-wheeler raw_conf=0.889 kept_by_bytetrack=True track_id=3
2026-08-28 11:05:43 [DEBUG] uvh_test.main: frame=347 raw_class=Two-wheeler raw_conf=0.878 kept_by_bytetrack=True track_id=5
2026-08-28 11:05:43 [DEBUG] uvh_test.main: frame=347 raw_class=Two-wheeler raw_conf=0.894 kept_by_bytetrack=True track_id=3
2026-08-28 11:05:43 [DEBUG] uvh_test.main: frame=350 raw_class=Two-wheeler raw_conf=0.830 kept_by_bytetrack=True track_id=5
2026-08-28 11:05:43 [DEBUG] uvh_test.main: frame=350 raw_class=Two-wheeler raw_conf=0.909 kept_by_bytetrack=True track_id=3
2026-08-28 11:05:43 [DEBUG] uvh_test.main: frame=353 raw_class=Two-wheeler raw_conf=0.791 kept_by_bytetrack=True track_id=5
2026-08-28 11:05:43 [DEBUG] uvh_test.main: frame=353 raw_class=Two-wheeler raw_conf=0.909 kept_by_bytetrack=True track_id=3
2026-08-28 11:05:44 [DEBUG] uvh_test.main: frame=356 raw_class=Two-wheeler raw_conf=0.569 kept_by_bytetrack=True track_id=5
2026-08-28 11:05:44 [DEBUG] uvh_test.main: frame=356 raw_class=Two-wheeler raw_conf=0.903 kept_by_bytetrack=True track_id=3
2026-08-28 11:05:44 [DEBUG] uvh_test.main: frame=359 raw_class=Two-wheeler raw_conf=0.891 kept_by_bytetrack=True track_id=3
