2026-08-28 12:01:55 [DEBUG] uvh_test.main: frame=434 raw_class=Two-wheeler raw_conf=0.542 kept_by_bytetrack=True track_id=4
2026-08-28 12:01:55 [DEBUG] uvh_test.counter: track_id: 5, frame: 434, previous_bottom_center: (857.9521484375, 500.0757), current_bottom_center: (993.0184936523438, 468.2222), previous_side: 82.08, current_side: -26.33, side_transition: True, crossing_result: True, direction: B_TO_A
2026-08-28 12:01:55 [DEBUG] uvh_test.main: frame=434 COUNTED track_id=5 class=SUV direction=B_TO_A
2026-08-28 12:01:55 [DEBUG] uvh_test.main: frame=437 raw_class=SUV raw_conf=0.746 kept_by_bytetrack=True track_id=5
2026-08-28 12:01:55 [DEBUG] uvh_test.main: frame=437 raw_class=Two-wheeler raw_conf=0.564 kept_by_bytetrack=True track_id=4
2026-08-28 12:01:55 [DEBUG] uvh_test.main: frame=440 raw_class=SUV raw_conf=0.484 kept_by_bytetrack=True track_id=5
2026-08-28 12:01:55 [DEBUG] uvh_test.main: frame=443 raw_class=SUV raw_conf=0.609 kept_by_bytetrack=True track_id=5
2026-08-28 12:01:55 [DEBUG] uvh_test.main: frame=447 raw_class=SUV raw_conf=0.544 kept_by_bytetrack=True track_id=5
2026-08-28 12:01:55 [DEBUG] uvh_test.main: frame=450 raw_class=Three-wheeler raw_conf=0.884 kept_by_bytetrack=True track_id=5
2026-08-28 12:01:55 [DEBUG] uvh_test.main: frame=453 raw_class=Three-wheeler raw_conf=0.746 kept_by_bytetrack=True track_id=5
2026-08-28 12:01:55 [DEBUG] uvh_test.main: frame=456 raw_class=Three-wheeler raw_conf=0.900 kept_by_bytetrack=True track_id=5
2026-08-28 12:01:55 [DEBUG] uvh_test.main: frame=459 raw_class=Three-wheeler raw_conf=0.896 kept_by_bytetrack=True track_id=5
2026-08-28 12:01:55 [DEBUG] uvh_test.main: frame=462 raw_class=Three-wheeler raw_conf=0.820 kept_by_bytetrack=True track_id=5
2026-08-28 12:01:55 [DEBUG] uvh_test.main: frame=465 raw_class=Three-wheeler raw_conf=0.830 kept_by_bytetrack=True track_id=5
2026-08-28 12:01:55 [DEBUG] uvh_test.main: frame=468 raw_class=Three-wheeler raw_conf=0.831 kept_by_bytetrack=True track_id=5
2026-08-28 12:01:55 [DEBUG] uvh_test.main: frame=472 raw_class=Three-wheeler raw_conf=0.681 kept_by_bytetrack=True track_id=5
2026-08-28 12:01:55 [DEBUG] uvh_test.main: frame=475 raw_class=Three-wheeler raw_conf=0.788 kept_by_bytetrack=True track_id=5
2026-08-28 12:01:55 [DEBUG] uvh_test.main: frame=478 raw_class=Three-wheeler raw_conf=0.765 kept_by_bytetrack=True track_id=5
2026-08-28 12:01:55 [DEBUG] uvh_test.main: frame=481 raw_class=Three-wheeler raw_conf=0.735 kept_by_bytetrack=True track_id=5
2026-08-28 12:01:55 [DEBUG] uvh_test.main: frame=484 raw_class=Three-wheeler raw_conf=0.786 kept_by_bytetrack=True track_id=5
2026-08-28 12:01:55 [DEBUG] uvh_test.main: frame=487 raw_class=Three-wheeler raw_conf=0.755 kept_by_bytetrack=True track_id=5
2026-08-28 12:01:55 [DEBUG] uvh_test.main: frame=490 raw_class=Three-wheeler raw_conf=0.640 kept_by_bytetrack=True track_id=5
2026-08-28 12:01:55 [DEBUG] uvh_test.main: frame=493 raw_class=Three-wheeler raw_conf=0.663 kept_by_bytetrack=True track_id=5
2026-08-28 12:01:55 [DEBUG] uvh_test.main: frame=496 raw_class=Three-wheeler raw_conf=0.602 kept_by_bytetrack=True track_id=5
